2017-02-21 19:28:26,267 [main] INFO  o.a.c.f.imps.CuratorFrameworkImpl [Line:238] - Starting
2017-02-21 19:28:26,418 [main] INFO  org.apache.zookeeper.ZooKeeper [Line:100] - Client environment:os.arch=x86_64
2017-02-21 19:28:26,418 [main] INFO  org.apache.zookeeper.ZooKeeper [Line:100] - Client environment:os.version=10.11.6
2017-02-21 19:28:26,418 [main] INFO  org.apache.zookeeper.ZooKeeper [Line:100] - Client environment:user.name=xuwenjuan
2017-02-21 19:28:26,418 [main] INFO  org.apache.zookeeper.ZooKeeper [Line:100] - Client environment:user.home=/Users/xuwenjuan
2017-02-21 19:28:26,418 [main] INFO  org.apache.zookeeper.ZooKeeper [Line:100] - Client environment:user.dir=/Users/xuwenjuan/workspace/toolkit
2017-02-21 19:28:26,420 [main] INFO  org.apache.zookeeper.ZooKeeper [Line:438] - Initiating client connection, connectString=localhost:2181 sessionTimeout=60000 watcher=org.apache.curator.ConnectionState@371a67ec
2017-02-21 19:28:26,455 [main-SendThread(localhost:2181)] INFO  org.apache.zookeeper.ClientCnxn [Line:1032] - Opening socket connection to server localhost/0:0:0:0:0:0:0:1:2181. Will not attempt to authenticate using SASL (unknown error)
2017-02-21 19:28:26,562 [main-SendThread(localhost:2181)] INFO  org.apache.zookeeper.ClientCnxn [Line:876] - Socket connection established to localhost/0:0:0:0:0:0:0:1:2181, initiating session
2017-02-21 19:28:26,578 [main-SendThread(localhost:2181)] INFO  org.apache.zookeeper.ClientCnxn [Line:1299] - Session establishment complete on server localhost/0:0:0:0:0:0:0:1:2181, sessionid = 0x15a601d33d20004, negotiated timeout = 40000
2017-02-21 19:28:26,587 [main-EventThread] INFO  o.a.c.f.state.ConnectionStateManager [Line:228] - State change: CONNECTED
